title;category;Beschreibung;address;zip;city;geo_latitude;geo_longitude;tel_1;tel_1_comment;tel_2;tel_2_comment;tel_3;tel_3_comment;email;web_url;url
Park;shopping;In diesem ganz in Wei� gehaltenem Concept Store findet man Mode heimischer und internationaler Labels.;Mondscheingasse 20 ;1070;Wien;48,2010723;16,3495025;+43 1 526 44 14 ;Tel.;;;;;;http://www.park.co.at/;/portal/locations-de/park
Pitti;shopping;Ob gediegen oder flippig, wer Taschen liebt, ist hier zu Hause.;Goldschmiedgasse 10;1010;Wien;48,2086192;16,3711802;;;;;;;;http://www.pitti.at/;/portal/locations-de/pitti
Porgy & Bess;musicstage;Jazz vom Feinsten  findet man im Porgy & Bess, einem renommierten Jazz- und Musicclub mit vielf�ltigem Programmangebot. �sterreichischer und internationaler Musiker setzen hier au�ergew�hnliche und interessante musikalische Schwerpunkte. ;Riemergasse 11;1010;Wien;48,2068277;16,3766916;+43 1 512 88 11;;;;;;porgy@porgy.at;http://www.porgy.at;/portal/locations-de/porgy-bess
Pratersauna;nightlife;Die gro�z�gigen R�umlichkeiten einer ehemaligen Sauna im Prater sind Treffpunkt der Musik-, Kunst-, Kultur- und Lifestyle-Szene.;Waldsteingartenstra�e 135;1020;Wien;48,2132942;16,4046699;+43 1 729 19 27 ;;;;;;info@pratersauna.tv;http://www.pratersauna.tv;/portal/locations-de/pratersauna
Pregenzer Fashionstore;shopping;Neben den eigenen puristisch-strengen Kollektionen sind hier auch internationale Designerlabels vertreten.;Schleifm�hlgasse 4 ;1040;Wien;48,1966415;16,3665213;;;;;;;;http://www.pregenzer.com/;/portal/locations-de/pregenzer-fashionstore
Raimund Theater;musicstage;Das Raimund Theater war lange Zeit das Stammhaus publikumswirksamer Operetten, bevor auch hier in den 1970er Jahren das Musical Einzug hielt. Heute ist es eine Musical-Spielst�tte der Vereinigten B�hnen Wiens.;Wallgasse 18-20;1060;Wien;48,1921594;16,3397895;+43 1 588 85;Wien-Ticket;;;;;info@vbw.at;http://www.musicalvienna.at/ ;/portal/locations-de/raimund-theater
Ra'mien;gastronomy;Asiatische Fusionsk�che in einem absolut coolen Ambiente. Nicht teuer, nette Menschen und vor allem beste Qualit�t. ;Gumpendorfer Stra�e 9 ;1060;Wien;48,200167;16,3614752;+43 1  585 47 98 ;Tel.;;;;;;http://www.ramien.at/;/portal/locations-de/ramien
Restaurant Vestib�l;restaurants;Das Lokal im Burgtheater ist eine Gro�stadtbrasserie der Sonderklasse mit einem der sch�nsten Gastg�rten der Stadt.;Burgtheater, Universit�tsring 2;1010;Wien;48,2103678;16,3609253;+43 1 532 49 99;;;;;;restaurant@vestibuel.at;http://www.vestibuel.at;/portal/locations-de/restaurant-vestibuel
Riesenrad;sightseeing;Von diesem Wahrzeichen Wiens kann man den Blick auf die Stadt aus 64,75 Meter H�he genie�en.;Riesenradplatz 1;1020;Wien;48,2175095;16,3966444;+43 1 729 54 30;;;;;;info@wienerriesenrad.com;http://www.wienerriesenrad.at;/portal/locations-de/riesenrad
Ronacher Theater;musicstage;Das Ronacher, jenes Theater, in dem alle Stars des Revuetheaters ihr Wien-Deb�t feierten, ist heute die Musicalb�hne in der Wiener Innenstadt.;Seilerst�tte 9;1010;Wien;48,2051876;16,3750333;+43-1-588 85;Kartenreservierung bei Wien-Ticket;;;;;wienticket@wien-ticket.at;http://www.musicalvienna.at;/portal/locations-de/ronacher-theater
S�ulenhalle;nightlife;Die Clubdiskothek mit dem blumengeschm�ckten und palmenbest�ckten Garten bietet Tanzunterhaltung mit Stil.;Heldenplatz;1010;Wien;48,20722645;16,36169742;+43 1 532 42 41;;;;;;;http://www.facebook.com/Saeulenhalle;/portal/locations-de/saeulenhalle
Schatzkammer ;sightseeing;Hier, im �ltesten Teil der Hofburg (13. Jh.), finden Sie nicht nur die Kaiserkrone des Heiligen R�mischen Reiches (um 962) und die �sterreichische Kaiserkrone (1602), sondern auch den Burgunderschatz aus dem 15. Jahrhundert und den Schatz des Ordens vom Goldenen Vlies.;Hofburg, Schweizerhof;1010;Wien;48,2083556;16,3677601;+43 1 525 24 4031;;;;;;info.kk@khm.at;http://www.khm.at ;/portal/locations-de/schatzkammer
Schau Schau Brillen;shopping;In diesem au�ergew�hnlichen Fachgesch�ft mit hauseigener Manufaktur werden Augen mit Formenreichtum und Farbvielfalt verw�hnt.;Rotenturmstra�e 11 ;1010;Wien;48,209697;16,3733443;;;;;;;;http://www.schau-schau.at/;/portal/locations-de/schau-schau-brillen
Schauraum Lichterloh;museum;Der Schauraum Lichterloh zeigt Designerm�bel von damals und heute;;1100;Wien;48,1720289999999;16,3891158999999;0664 453 95 96;;;;;;;http://www.lichterloh.com;
Schloss Belvedere;sightseeing;"Besuchen Sie Gustav Klimt's legend�res Gem�lde ""Der Kuss"" und die bedeutenden Werke von Schiele und Kokoschka.";Oberes Belvedere, Prinz-Eugen-Stra�e 27;1030;Wien;48,19125929;16,37988422;+43 1 79 55 70 ;;;;;;office@bundesgaerten.at;http://www.belvedere.at ;/portal/locations-de/schlosspark-belvedere
Schloss Sch�nbrunn;sightseeing;Sch�nbrunn, die ehemalige Sommerresidenz der Kaiserfamilie, z�hlt zu den sch�nsten Barockschl�ssern Europas.;Maxingstra�e;1130;Wien;48,1806637;16,2991312;+43 1 877 50 87;;;;;;office@bundesgaerten.at;http://www.bundesgaerten.at;/portal/locations-de/schlosspark-schoenbrunn
Schokoladek�nig;shopping;Handgemachte Schokolade-K�stlichkeiten von goldenen Wienerherzen bis zu Schokoladekn�pfen warten hier auf Naschkatzen.;Freisingergasse 1 ;1010;Wien;48,2093168;16,3706687;;;;;;;;http://www.leschanz.at/;/portal/locations-de/schokoladekoenig
Secession;museum;In diesem bedeutenden Jugendstilgeb�ude mit seinem markanten goldenen Bl�tterdach ist Klimts ber�hmter Beethovenfries zu sehen.;Friedrichstra�e 12 ;1010;Wien;48,2004313;16,3658402;+43 1 587 53 07 ;;;;;;office@secession.at;http://www.secession.at/;/portal/locations-de/secession
shu! ;shopping;Ein Shop, so extravagant wie seine Schreibweise - macht Menschen mit dem etwas anderen Geschmack Lust auf neue Fu�bekleidung.;Neubaugasse 34 ;1070;Wien;48,2007076;16,3493332;+43 1 523 14 49 ;Tel.;;;;;;http://www.shu.at/;/portal/locations-de/shu
Sisi Museum;sightseeing;In den originalen Privatgem�chern der Kaiserin Elisabeth sind zahlreiche pers�nliche Objekte sowie die ber�hmtesten Elisabeth-Portr�ts zu sehen.;Hofburg;1010;Wien;48,2083556;16,3677601;+43 1 533 75 70;Tel.;;;;;;http://www.hofburg-wien.at;/portal/locations-de/sisimuseum
Sky Caf� Restaurant Bar;gastronomy;Hier bietet sich vom obersten Stock des Kaufhauses Steffl ein hervorragender Blick �ber die Innenstadt.;K�rntner Stra�e 19 ;1010;Wien;48,2064095;16,371684;+43 1 513 17 12 ;Tel.;;;;;;http://www.skybar.at/;/portal/locations-de/sky-cafe-restaurant-bar
Song;shopping;Die Boutique Song bietet aktuelle Mode von renommierten Designern und ist auch Wiens erster Acne-Shop.;Praterstra�e 11-13 ;1020;Wien;48,2131057;16,3812965;+43 1 532 28 58;;;;;;;http://www.song.at/;/portal/locations-de/saba-song
Spanische Hofreitschule;sightseeing;Reitkunst in h�chster Vollendung kann man hier im barocken Ambiente der Hofburg erleben.;Michaelerplatz 1 (Besucherzentrum);1010;Wien;48,2083556;16,3677601;+43 1 533 90 31;Infohotline;;;;;tickets@srs.at;http://www.srs.at;/portal/locations-de/spanische-hofreitschule
Staud's Wien;shopping;Seit 1947 verkauft hier Familie Staud erlesene Konfit�ren und Gem�sedelikatessen.;Brunnenmarkt, Brunnengasse/Schellhammergasse;1160;Wien;48,2151781;16,3033805;;;;;;;;http://www.stauds.com/;/portal/locations-de/staud2019s-wien
Stein's Diner;gastronomy;"Schon am Morgen ist im Caf� einiges los und wer bis in die Nacht bleiben will, der begibt sich am Abend in ""Stein's Diner"" unter dem Caf�.";Kolingasse 1 ;1090;Wien;48,2155309;16,3612527;+43 1 310 95 15 ;Tel.;;;;;;http://www.cafe-stein.com/;/portal/locations-de/steins-diner
Stephansdom;sightseeing;Das Wahrzeichen Wiens und �sterreichs bedeutendstes gotisches Bauwerk beherbergt eine Reihe von Kunstsch�tzen, die teilweise im Rahmen einer F�hrung besichtigt werden k�nnen: z.B. das Grabmal Kaiser Friedrichs III., der Wiener Neust�dter Altar, die Katakomben, die Pummerin - die gr��te Glocke �sterreichs usw.;Stephansplatz;1010;Wien;48,2087202;16,37276317;+43 1 515 52 3526;;;;;;;http://www.stephanskirche.at ;/portal/locations-de/stephansdom
Sterngasse4;shopping;Ein Store mit den aktuellsten Trends und Labels aus aller Welt und Fokus auf schicke Kleider und Accessoires.;Sterngasse 4 ;1010;Wien;48,2035475;16,3682037;;;;;;;;http://www.sterngasse4.com/;/portal/locations-de/sterngasse4
Strandbar Herrmann;gastronomy;Sonne, Sand und Urlaubsfeeling, gutes Essen und coole Drinks bietet am Wiener Donaukanal die Strandbar Herrmann.;Herrmannpark (Donaukanal-Urania);1010;Wien;48,2121534;16,3861776;;;;;;;;http://www.strandbar-herrmann.at;/portal/locations-de/strandbar-herrmann
Susanne Bisovsky;shopping;Bisovsky greift traditionelle Motive der Tracht auf und verwandelt sie in Couture, sie kombiniert folkloristische Elemente mit Eleganz oder kontrastiert sie mit Punk.;Seidengasse 13/6;1070;Wien;48,2002938;16,3455941;;;;;;;office@bisovsky.com;http://www.bisovsky.com/;/portal/locations-de/susanne-bisovsky
Susanne Kitz;shopping;Exklusive Taschen und Schmuck-Unikate aus Halbedelsteinen, Perlmutt und Horn erwarten die Kunden hier.;Weihburggasse 7�;1010;Wien;48,2072730;16,3727446;;;;;;;;http://www.susannekitz.com/;/portal/locations-de/susanne-kitz
Swarovski Wien;shopping;Die gesamte glitzernde und schillernde Produktvielfalt des weltbekannten Kristall-Designers kann hier bestaunt und auch gekauft werden.;K�rntner Stra�e 24 ;1010;Wien;48,2054839;16,3709295;;;;;;;;http://www.swarovski.com/wien/;/portal/locations-de/swarovski-wien
Tanzquartier Wien;musicstage;Im MuseumsQuartier, nahe der Hofburg, verf�gt dieses �sterreichische Zentrum f�r zeigen�ssischen Tanz und Performance �ber zwei Veranstaltungsorte.;MuseumsQuartier, Museumsplatz 1;1070;Wien;48,2046538;16,3585099;+43 1 581 35 91;;;;;;tanzquartier@tqw.at;http://www.tqw.at;/portal/locations-de/tanzquartier-wien
Technisches Museum Wien;museum;Einzigartige Schaust�cke aus der Technik- und Industriegeschichte beherbergt dieses Wiener Traditionsmuseum, wie die noch immer flugf�hige Ettrich-Taube, die Dampfmaschinen, der bordeauxrote Lohner-Porsche, das Schaubergwerk im Keller... ;Mariahilfer Stra�e 212;1140;Wien;48,1909435;16,3181505;+43 1 899 98-0;;;;;;museumsbox@tmw.at;http://www.technischesmuseum.at;/portal/locations-de/technisches-museum-wien
Theater an der Wien;musicstage;Rund jeden Monat eine Premiere, und das zw�lf Monate im Jahr � das bietet das 2006 als Opernhaus er�ffnete Theater an der Wien.;Linke Wienzeile 6;1060;Wien;48,1994032;16,3642544;+43 1 588 30 661;;;;;;;http://www.theater-wien.at;/portal/locations-de/theater-an-der-wien
Theater in der Josefstadt;musicstage;Er�ffnet 1788 ist das Theater in der Josefstadt heute das �lteste noch bestehende, st�ndig bespielte Theater Wiens. Heute bietet man hier einen gelungenen Mix aus Klassikern und Urauff�hrungen zeitgen�ssischer Autoren.;Josefst�dter Stra�e 26;1080;Wien;48,209524;16,3509494;+43 1 42 700-300;;;;;;ticket@josefstadt.org;http://www.josefstadt.org;/portal/locations-de/theater-in-der-josefstadt
Tiergarten Sch�nbrunn;sightseeing;"Der Tiergarten Sch�nbrunn in Wien ist der �lteste bestehende Zoo der Welt, die einzige erhaltene ""Barock-Menagerie"". Die oberste Maxime des Zoos heute ist aber: ""Sch�nbrunn soll ein Zoo der gl�cklichen Tiere sein"" � und das sieht man!";;1130;Wien;48,18348407;16,30199974;+43-1-877 92 94;;;;;;office@zoovienna.at;http://www.zoovienna.at;/portal/locations-de/tiergarten-schoenbrunn
Tourist-Info;servicepoints;Das Team vom WienTourismus hilft hier bei der Planung Ihres Wienbesuches und bucht vor Ort Ihr Hotel in Wien. Au�erdem: gratis Stadtpl�ne und Bosch�ren. Ge�ffnet t�glich von 9 bis 19 Uhr.;Albertinaplatz, Ecke Maysedergasse ;1010;Wien;48,2042157;16,3702358;+43-1-24555;;;;;;info@wien.info;http://www.wien.info;/portal/locations-de/tourist-info
U4 Diskothek;nightlife;Die legend�rste Disco der Stadt versorgt mittlerweile schon die vierte Generation an G�sten mit Partylaune auf zwei Floors  und den n�tigen Drinks.;Sch�nbrunner Stra�e 222 ;1120;Wien;48,1831645;16,328091;+43 1 817 11 92 ;Tel.;;;;;;http://www.u-4.at/;/portal/locations-de/u4-diskothek
Unger und Klein;gastronomy;In dieser Kombination aus Weinhandlung und Bar gehen �sthetischer und kulinarischer Genuss eine wunderbare Symbiose ein.;G�lsdorfgasse 2 ;1010;Wien;48,2133233;16,3721272;+43 1 532 13 23 ;Tel.;;;;;;http://www.ungerundklein.at/;/portal/locations-de/unger-und-klein
Volksgarten Clubdiskothek;nightlife;Die Clubdiskothek mit dem blumengeschm�ckten und palmenbest�ckten Garten bietet Tanzunterhaltung mit Stil.;Burgring 1 (Heldenplatz) ;1010;Wien;48,2062953;16,3637448;+43 1 532 42 41;;;;;;info@volksgarten.at;http://www.volksgarten.at/;/portal/locations-de/volksgarten-clubdiscothek
Volksoper Wien;musicstage;Die Volksoper bietet ungeheuer vielf�ltige B�hnenkunst: Sowohl Opern, klassische Musicals, zeitgen�ssischen Tanz und Konzerte als auch Operetten.;W�hringer Stra�e 78;1090;Wien;48,2245845;16,350275;+43 1 51444-3670;Information;+43 1 513 1 513;Bestellen mit Kreditkarte;;;tickets@volksoper.at;http://www.volksoper.at;/portal/locations-de/volksoper
Volkstheater;musicstage;Das Volkstheater wurde 1889 als �b�rgerliches Gegenst�ck� zum heutigen Burgtheater er�ffnet. Das Repertoire des Theaters umfasst neben �sterreichischen auch deutsche und internationale Klassiker.;Neustiftgasse 1 ;1070;Wien;48,2055471;16,356933;+43 1 52 111 400;;;;;;info@volkstheater.at;http://www.volkstheater.at;/portal/locations-de/volkstheater
WestLicht - Schauplatz f�r Fotografie;museum;Das Fotomuseum zeigt 700 wertvolle historische Fotoapparate und Spezialkameras, wechselnde Fotoausstellungen runden das Angebot ab.;Westbahnstra�e 40 ;1070;Wien;48,2019837;16,3421219;+43 1 522 66 36 ;;;;;;info@westlicht.com;http://www.westlicht.com/;/portal/locations-de/westlicht-schauplatz-fuer-fotografie
Wien Museum Karlsplatz;museum;Hier wird die Geschichte Wiens von den ersten Ansiedlungen bis zur Gegenwart dokumentiert.;Karlsplatz;1040;Wien;48,19935723;16,37275999;+43 1 505 87 470 ;;;;;;service@wienmuseum.at;http://www.wienmuseum.at/;/portal/locations-de/wien-museum-karlsplatz
Wiener Glasmuseum (Lobmeyr) ;museum;Seit beinah 200 Jahren steht dieser Wiener Familienbetrieb f�r exklusive Glaserzeugung in hochwertigem Design.;K�rntner Stra�e 26 ;1010;Wien;48,205244;16,3708078;+43 1 512 05 08 ;Tel.;;;;;;http://www.lobmeyr.at/;/portal/locations-de/wiener-glasmuseum-lobmeyr
Wiener Kammeroper ;musicstage;Dieses Opernhaus steht f�r aktuelle, niveauvolle Inszenierungen, junge, unverbrauchte Stimmen und ist Sprungbrett f�r die �Stars von morgen�.;Fleischmarkt 24;1010;Wien;48,2114195;16,3739165;+43 1 588 30 200;;;;;;info@theater-wien.at;http://www.theater-wien.at;/portal/locations-de/wiener-kammeroper
Wiener Konzerthaus;musicstage;Im stimmungsvollen Jugendstil-Ambiente des Konzerthauses kann man nicht nur klassisches Repertoire h�ren, sondern auch Musik vom Mittelalter bis zu progressivsten T�nen der Gegenwart.;Lothringerstra�e;1030;Wien;48,2008436;16,37717884;+43 1 242 002;;;;;;ticket@konzerthaus.at;http://www.konzerthaus.at;/portal/locations-de/wiener-konzerthaus
Wiener Porzellanmanufaktur Augarten;shopping;Augarten Porzellan besticht durch extravagantes Design, zeitlose Eleganz und pr�zise Handarbeit. ;Obere Augartenstra�e 1a;1020;Wien;48,224469;16,373627;+43 1 211 24-0;;;;;;augarten@augarten.at;http://www.augarten.at/;/portal/locations-de/wiener-porzellanmanufaktur-augarten
Wiener S�ngerknaben;musicstage;"Die ""j�ngsten musikalischen Botschafter Wiens"" sind bei den sonnt�glichen Heiligen Messen in der Hofburgkapelle zu h�ren.";Obere Augartenstra�e 1c ;1020;Wien;48,224458;16,3734017;;;;;;;;http://www.wsk.at/;/portal/locations-de/wiener-saengerknaben
Wiener Staatsoper;musicstage;Die Wiener Staatsoper ist eine der ersten Opernadressen der Welt. Internationale Spitzeninterpreten und Regisseure genie�en es hier ihre Kunst darzubieten.;Opernring 2;1010;Wien;48,2028178;16,3689153;+43 1 514 44 2250;Informationen;+43 1 513 1 513;Bestellen mit Kreditkarte;;;;http://www.wiener-staatsoper.at ;/portal/locations-de/wiener-staatsoper
Wiener Stadthalle;musicstage;1956 bekam Wien dank Architekt Roland Rainer die Wiener Stadthalle als Aush�ngeschild f�r moderne Konzerte und Shows. Die bis dahin unbekannte Gr��enordnung erm�glichte von Beginn an Events der Sonderklasse.;Vogelweidplatz 14;1150;Wien;48,2020572;16,3315712;+43 1 79 999 79;;;;;;tickets@stadthalle.com;http://www.stadthalle.com;/portal/locations-de/wiener-stadthalle
W�rstelstand Albertina;gastronomy;Dieser W�rstelstand gilt als zeitgem��e Interpretation dieser Wiener Institution: hier werden auch Bouteillenweine und Sekt angeboten.;Albertinaplatz ;1010;Wien;48,204367;16,3688208;+43 1 533 10 26 ;Tel.;;;;;;http://www.bitzinger.at/;/portal/locations-de/wuerstelstand-albertina
W�rstelstand am Hohen Markt;gastronomy;Seinen Kultfaktor verdankt dieser W�rstelstand seinen �ffnungszeiten bis in die fr�hen Morgenstunden.;Hoher Markt ;1010;Wien;48,210862;16,372725;+43 1 699 1 846 21 86 ;;;;;;;;/portal/locations-de/wuerstelstand-am-hohen-markt
Zentralfriedhof;sightseeing;Auf dem mehr als 2 Quadratkilometer gro�e Zentralfriedhof befindet sich die wahrscheinlich gr��te Anlage von Ehrengr�bern der Welt.Ihre letzte Ruhest�tte fanden hier u.a Ludwig van Beethoven, Franz Schubert, Johann Strau� und Johannes Brahms.;Simmeringer Hauptstra�e 234 ;1110;Wien;48,1542998;16,441214;+43 1 534 69;;;;;;;http://www.friedhoefewien.at;/portal/locations-de/zentralfriedhof
ZOOM Kindermuseum;museum;Das Kindermuseum im MuseumsQuartier bietet ein ganzj�hriges Ausstellungs- und Workshopangebot, sowie ein einzigartiges Multimedialabor.;Museumsquartier, Museumsplatz 1;1070;Wien;48,20222973;16,35943794;+43 1 524 79 08 ;;;;;;info@kindermuseum.at;http://www.kindermuseum.at/;/portal/locations-de/zoom-kindermuseum
Zur Schw�bischen Jungfrau;shopping;Hier findet man exklusive Tisch-, Bett- und Frotteew�sche sowie Daunendecken bester Qualit�t.;Graben 26 ;1010;Wien;48,2090112;16,3696138;;;;;;;;http://www.schwaebische-jungfrau.at/;/portal/locations-de/zur-schwaebischen-jungfrau
